n,t,p
0,51,932.54
1,103,932.58
2,154,932.57
3,204,932.57
4,257,932.64
5,307,932.63
6,358,932.61
7,409,932.59
8,460,932.56
9,513,932.55
10,564,932.59
11,615,932.60
12,666,932.59
13,718,932.61
14,774,932.56
15,825,932.57
16,877,932.59
17,927,932.58
18,978,932.57
19,1030,932.59
20,1081,932.61
21,1133,932.61
22,1184,932.64
23,1235,932.60
24,1288,932.64
25,1339,932.55
26,1390,932.57
27,1441,932.56
28,1497,932.57
29,1548,932.63
30,1599,932.57
31,1651,932.60
32,1702,932.59
33,1754,932.59
34,1805,932.63
35,1857,932.59
36,1908,932.57
37,1959,932.57
38,2011,932.59
39,2063,932.56
40,2114,932.59
41,2165,932.62
42,2221,932.61
43,2272,932.61
44,2324,932.61
45,2375,932.60
46,2427,932.62
47,2479,932.58
48,2531,932.60
49,2582,932.58
50,2634,932.59
51,2685,932.63
52,2737,932.61
53,2789,932.58
54,2840,932.59
55,2892,932.62
56,2944,932.61
57,2996,932.57
58,3047,932.59
59,3099,932.57
60,3150,932.60
61,3203,932.58
62,3254,932.57
63,3299,932.58
64,3351,932.53
65,3402,932.55
66,3453,932.61
67,3506,932.59
68,3556,932.59
69,3607,932.60
70,3658,932.62
71,3714,932.60
72,3766,932.58
73,3817,932.59
74,3868,932.61
75,3919,932.60
76,3972,932.58
77,4023,932.60
78,4074,932.55
79,4126,932.57
80,4177,932.60
81,4229,932.54
82,4280,932.58
83,4332,932.56
84,4383,932.58
85,4434,932.57
86,4487,932.59
87,4538,932.61
88,4589,932.62
89,4641,932.55
90,4692,932.61
91,4744,932.58
92,4795,932.59
93,4846,932.55
94,4898,932.57
95,4950,932.54
96,5001,932.53
97,5056,932.60
98,5107,932.58
99,5163,932.59
100,5214,932.57
101,5266,932.58
102,5317,932.57
103,5369,932.57
104,5421,932.55
105,5473,932.56
106,5524,932.57
107,5576,932.60
108,5627,932.56
109,5680,932.59
110,5731,932.57
111,5783,932.54
112,5834,932.57
113,5886,932.57
114,5938,932.59
115,5989,932.57
116,6041,932.58
117,6092,932.63
118,6145,932.54
119,6196,932.55
120,6248,932.56
121,6299,932.55
122,6351,932.61
123,6403,932.62
124,6455,932.55
125,6506,932.51
126,6558,932.63
127,6614,932.60
128,6665,932.55
129,6720,932.59
130,6769,932.55
131,6818,932.53
132,6867,932.52
133,6917,932.59
134,6966,932.60
135,7014,932.52
136,7063,932.55
137,7112,932.59
138,7161,932.57
139,7209,932.50
140,7259,932.52
141,7308,932.59
142,7357,932.55
143,7406,932.57
144,7455,932.57
145,7503,932.57
146,7553,932.56
147,7602,932.56
148,7650,932.62
149,7699,932.63
150,7748,932.59
151,7797,932.64
152,7846,932.56
153,7895,932.56
154,7944,932.56
155,7997,932.56
156,8048,932.53
157,8098,932.60
158,8148,932.52
159,8200,932.49
160,8251,932.58
161,8304,932.58
162,8354,932.53
163,8407,932.63
164,8458,932.61
165,8509,932.56
166,8561,932.58
167,8610,932.56
168,8660,932.63
169,8712,932.62
170,8763,932.58
171,8813,932.59
172,8863,932.57
173,8914,932.60
174,8967,932.62
175,9018,932.57
176,9070,932.59
177,9121,932.57
178,9172,932.61
179,9224,932.59
180,9276,932.61
181,9327,932.59
182,9378,932.60
183,9431,932.62
184,9486,932.56
185,9537,932.61
186,9588,932.61
187,9640,932.60
188,9692,932.57
189,9744,932.57
190,9795,932.56
191,9846,932.55
192,9899,932.62
193,9953,932.60
194,10003,932.58
195,10054,932.56
196,10105,932.63
197,10158,932.62
198,10209,932.61
199,10260,932.59
200,10312,932.53
201,10363,932.59
202,10415,932.60
203,10467,932.65
204,10518,932.64
205,10569,932.62
206,10620,932.61
207,10673,932.60
208,10724,932.61
209,10775,932.60
210,10827,932.63
211,10878,932.61
212,10933,932.62
213,10985,932.61
214,11036,932.60
215,11088,932.61
216,11140,932.59
217,11192,932.65
218,11243,932.61
219,11295,932.60
220,11346,932.64
221,11398,932.63
222,11450,932.58
223,11504,932.65
224,11554,932.60
225,11606,932.67
226,11657,932.61
227,11709,932.55
228,11760,932.58
229,11811,932.60
230,11864,932.58
231,11915,932.59
232,11966,932.61
233,12018,932.61
234,12069,932.65
235,12121,932.63
236,12172,932.59
237,12223,932.57
238,12275,932.57
239,12326,932.59
240,12383,932.57
241,12434,932.57
242,12485,932.58
243,12537,932.58
244,12589,932.52
245,12641,932.59
246,12692,932.61
247,12744,932.61
248,12795,932.62
249,12848,932.59
250,12899,932.55
251,12951,932.57
252,13002,932.52
253,13057,932.57
254,13108,932.61
255,13159,932.56
256,13210,932.61
257,13261,932.60
258,13314,932.57
259,13365,932.59
260,13416,932.63
261,13467,932.56
262,13519,932.59
263,13571,932.62
264,13622,932.57
265,13674,932.59
266,13725,932.61
267,13776,932.56
268,13832,932.58
269,13883,932.60
270,13935,932.64
271,13987,932.63
272,14039,932.58
273,14091,932.57
274,14142,932.54
275,14194,932.60
276,14245,932.63
277,14298,932.63
278,14349,932.62
279,14401,932.60
280,14452,932.54
281,14504,932.56
282,14556,932.55
283,14611,932.56
284,14661,932.61
285,14712,932.59
286,14765,932.57
287,14816,932.61
288,14867,932.58
289,14918,932.58
290,14970,932.57
291,15022,932.55
292,15073,932.60
293,15125,932.58
294,15176,932.59
295,15227,932.60
296,15284,932.58
297,15335,932.59
298,15386,932.62
299,15438,932.57
300,15490,932.59
301,15542,932.53
302,15593,932.58
303,15645,932.55
304,15696,932.52
305,15749,932.56
306,15800,932.56
307,15851,932.61
308,15903,932.56
309,15954,932.58
310,16007,932.59
311,16058,932.58
312,16110,932.58
313,16164,932.56
314,16215,932.56
315,16266,932.54
316,16317,932.57
317,16369,932.56
318,16420,932.62
319,16473,932.60
320,16524,932.54
321,16575,932.54
322,16626,932.56
323,16678,932.58
324,16733,932.56
325,16796,932.55
326,16847,932.58
327,16899,932.60
328,16949,932.57
329,16999,932.59
330,17049,932.59
331,17098,932.59
332,17147,932.55
333,17197,932.59
334,17246,932.58
335,17296,932.56
336,17348,932.58
337,17399,932.58
338,17452,932.52
339,17503,932.56
340,17554,932.61
341,17606,932.58
342,17657,932.59
343,17710,932.58
344,17764,932.57
345,17816,932.54
346,17867,932.54
347,17918,932.58
348,17971,932.55
349,18022,932.54
350,18074,932.58
351,18125,932.54
352,18181,932.54
353,18233,932.56
354,18284,932.60
355,18334,932.57
356,18384,932.53
357,18434,932.53
358,18485,932.62
359,18534,932.65
360,18584,932.57
361,18633,932.55
362,18685,932.56
363,18736,932.62
364,18785,932.63
365,18834,932.58
366,18885,932.57
367,18936,932.52
368,18987,932.65
369,19036,932.66
370,19085,932.59
371,19134,932.59
372,19184,932.65
373,19235,932.68
374,19288,932.54
375,19338,932.55
376,19389,932.56
377,19440,932.60
378,19490,932.54
379,19542,932.58
380,19591,932.54
381,19640,932.56
382,19689,932.61
383,19738,932.53
384,19786,932.58
385,19835,932.54
386,19885,932.55
387,19934,932.61
388,19983,932.64
389,20031,932.59
390,20080,932.61
391,20129,932.62
392,20178,932.62
393,20228,932.65
394,20277,932.56
395,20325,932.64
396,20374,932.58
397,20423,932.62
398,20472,932.58
399,20520,932.57
